retail_va	demo_va	current_name	mapping_basis	body_normalized_equal	body_bytes	instruction_count	raw_equal	raw_diff_bytes	retail_normalized_sha256
0x00540680	0x00540c90	CDXFont__GetTextExtent	BRACKETED_CONSTANT_DELTA	true	433	120	false	7	0c4ffe633c6bfe790f37c5a3a430dac323132a86a6e0abb2b6caf89a8a1d70fd
0x00540840	0x00540e50	CDXBitmapFont__Deserialize	BRACKETED_CONSTANT_DELTA	true	301	95	false	36	faa8d53ba055fa060cc21375cd2629d4aff90e12d25b81d16daded7c0e9ff214
0x00540970	0x00540f80	CDXBitmapFont__HasAnimatedTexture	BRACKETED_CONSTANT_DELTA	true	28	10	false	1	27863a22ffdfd9f3a4a65892e62c15f08e3721f672d5be05128dfc2acd4cecda
0x00540990	0x00540fa0	CDXBitmapDebugFont__VFunc_0_00540990	RTTI_VTABLE_ANCHOR	true	112	29	false	4	2488dd1b70736c580cbecffcc7b3364c7ec5148220253723b2637e8a21a9d3a1
0x00540a40	0x00541050	HYP__ZeroDwords3_008a97b8	BRACKETED_CONSTANT_DELTA	true	31	4	false	6	6dc5fd2d5ba0f07e273628e3c451d85565835b00d485a1e481735614b96ab582
0x00540a60	0x00541070	HYP__InitIdentityMat_008a9788	BRACKETED_CONSTANT_DELTA	true	195	36	false	24	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17
0x00540b30	0x00541140	HYP__DynInit22_00540b50	BRACKETED_CONSTANT_DELTA	true	22	6	false	5	3ab0849171911457d65ae2100319c57a9fc965687bf436b389df749fc4d700dd
0x00540b50	0x00541160	HYP__JmpThunk_00540b60	BRACKETED_CONSTANT_DELTA	true	10	2	false	2	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22
0x00540b60	0x00541170	CDXFrontEnd__DestructorBody	BRACKETED_CONSTANT_DELTA	true	134	30	false	12	109a8805d7dd1dd962525197146b45f5fa4b5c7b7f7deb7d23391215c4f66737
0x00540bf0	0x00541200	CDXFrontEnd__Constructor	BRACKETED_CONSTANT_DELTA	true	18	7	false	3	7b13a8436e78450b35d322d4260dbda87b5122c171208a8a9837bbe11dd45755
0x00540c10	0x00541220	CDXFrontEnd__scalar_deleting_dtor	RTTI_VTABLE_ANCHOR	true	32	11	false	4	a4284d7048388722363491cd93758810e80dc90a4580bc1797fd018f371e738e
0x00540c30	0x00541240	CDXFrontEnd__SetupRenderMatricesAndProjection	BRACKETED_CONSTANT_DELTA	true	831	214	false	108	60d0392509cc33f4b0368583f50a5c0d655026e3bf0a026df4b41157c2c388ae
0x00540f70	0x00541580	CDXFrontEnd__RenderStart	RTTI_VTABLE_ANCHOR	true	61	17	false	17	32b05a10c4372343e81a4d123689396fbf73d4fb7b832a666516018f8e12e472
0x00540fb0	0x005415c0	CDXFrontEnd__VFunc_07_00540fb0	RTTI_VTABLE_ANCHOR	true	30	13	false	2	5de97efbc125c32e221e01c187d151fc7d39f26708003a1249abb12c384410b6
0x00540fd0	0x005415e0	HYP__ZeroDwords3_008a9a88	UNIQUE_ORDER_CONSTRAINED_MATCH	true	31	4	false	6	6dc5fd2d5ba0f07e273628e3c451d85565835b00d485a1e481735614b96ab582
0x00540ff0	0x00541600	HYP__InitIdentityMat_008a9a58	UNIQUE_ORDER_CONSTRAINED_MATCH	true	195	36	false	24	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17
0x005410c0	0x005416d0	HYP__DynInit29_005410e0	UNIQUE_ORDER_CONSTRAINED_MATCH	true	29	8	false	9	e909baafbd48054f40825453b1c80bf7f76d6dfa005388fa994770bc7785ee16
0x005410f0	0x00541700	HYP__DynInit22_00541110	SAME_RELATIVE_DATA_POINTER	true	22	6	false	7	3ab0849171911457d65ae2100319c57a9fc965687bf436b389df749fc4d700dd
0x00541120	0x00541740	CBinkOpenThread__ctor	UNIQUE_MASKED_WINDOW_MATCH	true	18	7	false	3	7b13a8436e78450b35d322d4260dbda87b5122c171208a8a9837bbe11dd45755
0x00541140	0x00541760	CBinkOpenThread__VFunc_0_00541140	RTTI_VTABLE_ANCHOR	true	177	55	false	14	524ed7d3042d01e8e45cd250e285dd66f2ac85ae3aef65312e435199e383d187
