sourcePath	sourceLine	functionVa	functionName	pushLineAt	pushPathAt	pairingMode	interveningInstructions	consumerAt	consumerVa	consumerName
C:\dev\ONSLAUGHT2\Building.cpp	100	0x00417390	CBuilding__CreateRepairPadAI	0x004173C8	0x004173CA	ADJACENT	0	0x004173D8	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Building.cpp	100	0x005D14D0	Unwind@005d14d0	0x005D14D0	0x005D14D2	ADJACENT	0	0x005D14DD	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Building.cpp	104	0x00417390	CBuilding__CreateRepairPadAI	0x00417429	0x0041742B	ADJACENT	0	0x00417439	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Building.cpp	104	0x005D14E6	Unwind@005d14e6	0x005D14E6	0x005D14E8	ADJACENT	0	0x005D14F3	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\bytesprite.cpp	29	0x004184C0	CByteSprite__Load	0x00418528	0x0041852A	ADJACENT	0	0x00418538	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\bytesprite.cpp	29	0x005D158B	Unwind@005d158b	0x005D158B	0x005D158D	ADJACENT	0	0x005D159B	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\bytesprite.cpp	32	0x004184C0	CByteSprite__Load	0x0041863F	0x00418643	STACK_STABLE_GAP	1	0x00418650	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\bytesprite.cpp	33	0x004184C0	CByteSprite__Load	0x0041865A	0x0041865C	ADJACENT	0	0x0041866C	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\bytesprite.cpp	189	0x004184C0	CByteSprite__Load	0x0041855A	0x00418567	STACK_STABLE_GAP	1	0x00418574	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\bytesprite.cpp	190	0x004184C0	CByteSprite__Load	0x00418582	0x00418587	ADJACENT	0	0x0041859B	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\bytesprite.cpp	191	0x004184C0	CByteSprite__Load	0x004185A3	0x004185A8	ADJACENT	0	0x004185BA	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Camera.cpp	158	0x00418EF0	CThing3rdPersonCamera__ctor	0x00418F3E	0x00418F43	ADJACENT	0	0x00418F5D	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Camera.cpp	158	0x005D15CB	Unwind@005d15cb	0x005D15CB	0x005D15D0	ADJACENT	0	0x005D15DB	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Camera.cpp	164	0x00418EF0	CThing3rdPersonCamera__ctor	0x00418F8C	0x00418F91	ADJACENT	0	0x00418F9F	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Camera.cpp	165	0x00418EF0	CThing3rdPersonCamera__ctor	0x00418FD6	0x00418FDB	ADJACENT	0	0x00418FE9	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Camera.cpp	166	0x00418EF0	CThing3rdPersonCamera__ctor	0x00419020	0x00419025	ADJACENT	0	0x00419033	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Camera.cpp	169	0x00418EF0	CThing3rdPersonCamera__ctor	0x0041905C	0x00419061	ADJACENT	0	0x0041906F	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Camera.cpp	169	0x005D15E4	Unwind@005d15e4	0x005D15E4	0x005D15E9	ADJACENT	0	0x005D15F4	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Cannon.cpp	34	0x0041B1A0	CCannon__Init	0x0041B227	0x0041B229	ADJACENT	0	0x0041B237	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Cannon.cpp	34	0x005D1760	Unwind@005d1760	0x005D1760	0x005D1762	ADJACENT	0	0x005D176D	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Cannon.cpp	35	0x0041B1A0	CCannon__Init	0x0041B254	0x0041B256	ADJACENT	0	0x0041B271	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Cannon.cpp	35	0x005D1776	Unwind@005d1776	0x005D1776	0x005D1778	ADJACENT	0	0x005D1783	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Cannon.cpp	38	0x0041B1A0	CCannon__Init	0x0041B2C5	0x0041B2CA	STACK_STABLE_GAP	1	0x0041B2DF	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Cannon.cpp	38	0x005D178C	Unwind@005d178c	0x005D178C	0x005D178E	ADJACENT	0	0x005D1799	0x00449D40	OID__FreeObject_Callback
